name,latitude,longitude
starbucks,31.409128,121.508663
starbucks,21.961277,108.64858
starbucks,30.56834884,114.2503281
starbucks,31.35715513,121.2586999
starbucks,39.024713,117.218741
starbucks,27.95239386,120.6852706
starbucks,22.53901813,113.956914
starbucks,31.3428131,120.6034588
starbucks,30.41214307,120.3150322
starbucks,24.452756,118.083059
starbucks,39.89307031,116.4600998
starbucks,23.130526,113.271953
starbucks,29.87131262,121.5555204
starbucks,22.51057762,113.4023806
starbucks,27.9955424,120.6849205
starbucks,31.1963356,121.6036478
starbucks,39.023826,117.707964
starbucks,31.26600349,120.6813297
starbucks,34.316501,108.972529
starbucks,31.188423,121.302423
starbucks,30.51938921,120.6830163
starbucks,32.38043488,119.3981266
starbucks,31.20314697,121.6013532
starbucks,31.27572485,121.4187468
starbucks,36.06756025,120.3775052
starbucks,31.40479349,119.4633687
starbucks,30.560158,114.20989
starbucks,29.80415097,121.5453408
starbucks,31.149894,121.806192
starbucks,31.20403356,121.4700472
starbucks,32.405741,119.57853
starbucks,26.075599,119.2993367
starbucks,39.93819457,116.3265278
starbucks,28.654744,115.837781
starbucks,31.99243192,118.7097591
starbucks,29.82978562,121.5686495
starbucks,29.9111042,121.8507407
starbucks,39.948761,116.476346
starbucks,30.09215792,120.5005177
starbucks,23.012785,113.098047
starbucks,28.16861792,112.9950242
starbucks,25.04710813,102.7053887
starbucks,22.71918038,114.2377281
starbucks,31.30483137,120.6063868
starbucks,39.37643894,117.0178413
starbucks,29.87046158,121.5556741
starbucks,31.31800051,120.7144035
starbucks,39.93170449,119.6038105
starbucks,39.80575438,116.4606398
starbucks,30.17096564,121.2403989
starbucks,39.82113654,109.9815345
starbucks,23.275739,113.816575
starbucks,29.896368,121.525741
starbucks,34.02811309,113.8518675
starbucks,31.19824014,121.437217
starbucks,23.06606351,114.4297633
starbucks,31.317623,121.508612
starbucks,31.32057326,120.7100111
starbucks,39.01300631,117.6772755
starbucks,32.04732169,118.8008394
starbucks,28.14013379,112.9440901
starbucks,30.27635456,120.1291768
starbucks,31.580007,120.18453
starbucks,23.36679782,116.7492065
starbucks,30.2071766,120.2015966
starbucks,22.94098977,112.9851856
starbucks,31.148281,121.112755
starbucks,29.88420766,121.5716189
starbucks,31.2642439,121.4991766
starbucks,39.13968574,117.2192985
starbucks,32.03712816,120.8341093
starbucks,31.20724075,121.4072084
starbucks,31.32084731,121.4730181
starbucks,36.669016,116.891259
starbucks,31.30917638,120.6372246
starbucks,30.59485301,114.2702687
starbucks,30.60235717,104.0609161
starbucks,34.217125,108.992355
starbucks,22.54595127,113.9465052
starbucks,31.21641,121.540436
starbucks,32.04080513,118.7831934
starbucks,43.820705,125.41821
starbucks,32.32938518,118.8433084
starbucks,30.68198992,103.8148624
starbucks,38.02292289,114.5449105
starbucks,30.31862635,120.1431187
starbucks,30.28028285,120.0035173
starbucks,29.885162,121.603813
starbucks,31.23752108,121.48527
starbucks,43.888529,125.272567
starbucks,33.38101781,120.1243234
starbucks,29.92841049,121.6248268
starbucks,31.154238,121.563805
starbucks,30.59562507,114.2659256
starbucks,28.19863477,112.8624297
starbucks,23.059535,113.148462
starbucks,38.04267372,114.4792745
starbucks,29.54289,119.387112
starbucks,22.96929614,113.01635
starbucks,30.18858608,120.1664282
starbucks,32.47114089,119.9180503
starbucks,32.012214,118.713977
starbucks,30.02131182,120.5941615
starbucks,31.31628391,120.6780824
starbucks,30.066716,121.17979
starbucks,31.28905111,121.1470749
starbucks,31.54249436,120.4393945
starbucks,24.52969239,118.1859045
starbucks,30.93029467,121.4625199
starbucks,31.06908643,121.4047024
starbucks,31.86446191,117.294926
starbucks,31.52103351,120.4469218
starbucks,30.54598874,114.3365807
starbucks,30.476389,114.41029
starbucks,41.73738364,123.4514594
starbucks,31.889519,121.185937
starbucks,22.53911909,114.1195604
starbucks,29.60132529,103.728565
starbucks,30.272517,120.073213
starbucks,31.1861436,121.432729
starbucks,39.953403,116.356024
starbucks,29.80833132,119.7020987
starbucks,22.91499291,114.013533
starbucks,30.24116773,120.0135559
starbucks,26.08270075,119.299686
starbucks,39.67230921,116.3196278
starbucks,30.902808,120.624832
starbucks,31.1400285,120.6569163
starbucks,39.11787,117.196896
starbucks,31.02042249,119.9190749
starbucks,39.99593656,116.4919907
starbucks,34.234556,108.890222
starbucks,29.34256046,120.1087768
starbucks,24.882031,118.59781
starbucks,24.32344263,109.4398248
starbucks,31.39779031,120.9815982
starbucks,23.0363466,113.7262381
starbucks,32.023308,118.739723
starbucks,31.78774324,119.849879
starbucks,39.97136009,116.4468195
starbucks,29.50049869,106.5119362
starbucks,22.947645,113.363316
starbucks,31.26004219,121.5124741
starbucks,31.30496,121.452492
starbucks,30.255359,120.163542
starbucks,30.63395548,120.5525451
starbucks,27.58584031,120.5723226
starbucks,38.04784867,114.5114934
starbucks,30.808464,103.905996
starbucks,45.80954921,126.5386069
starbucks,30.300096,120.065242
starbucks,23.39986168,113.2179111
starbucks,41.92125445,123.4004433
starbucks,23.133673,113.361486
starbucks,28.690174,115.864654
starbucks,22.93223283,113.3859451
starbucks,31.31174205,120.6019996
starbucks,31.23234302,121.4015865
starbucks,31.29337075,121.6100976
starbucks,30.58990464,114.2627606
starbucks,31.234846,121.541503
starbucks,36.06602957,120.3916383
starbucks,31.28888516,120.5648639
starbucks,23.286804,113.811516
