StoreName,CityName,Street Address,Longitude,Latitude,province,cityE
北京中关村南大街咖啡店,北京市,"海淀区, 北京国际大厦一层C座01-101单元, 东大桥东侧路光华路9号",116.32,39.95,Beijing,Beijing
北京世贸天阶店,北京市,"朝阳区, 世贸天阶中心A座一层L123号, 翠微路12号01层",116.45,39.92,Beijing,Beijing
北京翠微路咖啡店,北京市,"海淀区, 101-06/44/K12B号, 西大街107号",116.3,39.91,Beijing,Beijing
北京中海国际大厦咖啡店,北京市,"西城区, 中海国际大厦28号楼 1层6-7单元, 中关村大街1号1号楼1层F100号铺位",116.36,39.93,Beijing,Beijing
北京中关村大街海龙大厦,北京市,"海淀区, 方庄芳古园一区28号楼",116.32,39.98,Beijing,Beijing
北京方庄通润商务会馆店,北京市,"丰台区, 通润商务会馆A段1层2单元, 天畅园7号楼1层108号",116.43,39.87,Beijing,Beijing
北京天畅园咖啡店,北京市,"朝阳区, 宣武门外大街8号",116.42,40.03,Beijing,Beijing
北京庄胜崇光店,北京市,"宣武区, 北京庄胜崇光百货新馆B1层, 朝阳区东三环南路1号",116.38,39.9,Beijing,Beijing
北京东三环南路店,北京市,"北京市, 佳龙大厦101, 古北口镇司马台村国际休闲旅游度假区",116.46,39.89,Beijing,Beijing
北京古北咖啡店,北京市,"密云县, 第一层101单元, 建国门外大街22号",117.28,40.65,Beijing,Beijing
北京赛特购物中心店,北京市,"朝阳区, 赛特购物中心地下一层扶梯东侧, 大成南里三区13号楼",116.44,39.91,Beijing,Beijing
北京大成路店,北京市,"丰台区, 零售商区的一层及负一层的01单元, 新华西路58号1号楼",116.27,39.89,Beijing,Beijing
北京通州万达广场第一店,北京市,"通州区, 通州万达广场地上一层1057号铺位, 来广营西路5号院",116.64,39.91,Beijing,Beijing
北京望京诚盈中心店,北京市,"朝阳区, 3号楼地上一层102A, 复兴门大街15号",116.47,40.02,Beijing,Beijing
北京三里河东路店,北京市,"西城区, 长安商场1层, 永定门西滨河路8号院7楼",116.35,39.91,Beijing,Beijing
北京永定门咖啡店,北京市,"东城区, 中海地产广场101东塔02单元, 永大路1号楼102室",116.39,39.87,Beijing,Beijing
北京龙湖时代天街店,北京市,"大兴区, 东三环中路39号",116.32,39.69,Beijing,Beijing
北京建外现代城店,北京市,"朝阳区, 建外SOHO5号别墅01户, 西单北大街131号",116.46,39.91,Beijing,Beijing
北京西单大悦城店,北京市,"西城区, 西单大悦城2F-33号商铺, 香江北路28号2-023",116.37,39.91,Beijing,Beijing
北京赛特奥特莱斯店,北京市,"朝阳区, 东三环中路7号院7楼1-31号",116.51,40.04,Beijing,Beijing
北京财富购物中心店,北京市,"朝阳区, 建国路甲92号北京世茂大厦首层102#单元",116.46,39.92,Beijing,Beijing
北京世茂大厦店,北京市,"朝阳区, 槐房南路6号院",116.47,39.91,Beijing,Beijing
北京槐房西路店,北京市,"丰台区, 槐房万达广场一层1083号, 临空经济核心区安泰大街9号院",116.37,39.82,Beijing,Beijing
北京祥云东方苑咖啡店,北京市,"顺义区, 10号楼102号, 复兴门内大街28号",116.53,40.09,Beijing,Beijing
北京复兴门内店,北京市,"西城区, 凯晨世贸中心西大堂东南侧, 东长安街1号P-W1(08-10)号店铺",116.36,39.91,Beijing,Beijing
北京东方广场三店,北京市,"东城区, 北京东方广场东方新天地商场平台层, 金宝街88号",116.41,39.91,Beijing,Beijing
北京金宝汇店,北京市,"东城区, 金宝汇112号商铺一层, 什刹海前海西沿甲19号",116.42,39.92,Beijing,Beijing
北京什刹海天荷坊店,北京市,"西城区, 北京南站",116.39,39.93,Beijing,Beijing
北京南站第五咖啡店,北京市,"丰台区, 北进口内测东部通道区域地上一层的单元, 金汇路",116.38,39.87,Beijing,Beijing
北京金汇路世界城店,北京市,"朝阳区, 世界城商业街9号楼1层W111单元, 复兴门内大街158号",116.45,39.92,Beijing,Beijing
北京西城远洋大厦店,北京市,"西城区, 远洋大厦首层G03A, 崇文门外大街18号",116.36,39.91,Beijing,Beijing
北京崇文门外第一咖啡店,北京市,"东城区, 国瑞城地下二层, 复兴路51号",116.42,39.9,Beijing,Beijing
