province,grp
Beijing,29883
Tianjin,12450.6
Hebei,30640.8
Shanxi,14484.3
InnerMongolia,14898.1
Liaoning,21693
Jilin,10922
Heilongjiang,12313
Shanghai,32925
Jiangsu,85869.8
Zhejiang,52403.1
Anhui,29676.2
Fujian,33842.4
Jiangxi,20210.8
Shandong,63012.1
Henan,44824.9
Hubei,37235
Hunan,33828.1
Guangdong,91648.7
Guangxi,17790.7
Hainan,4497.5
Chongqing,20066.3
Sichuan,37905.1
Guizhou,13605.4
Yunnan,18486
Tibet,1349
Shaanxi,21473.5
Gansu,7336.7
Qinghai,2465.1
Ningxia,3200.3
Xinjiang,11159.9
