StoreName,CityName,StreetAddress1,StreetAddress3,latitude,longitude,province,cityE
汇智广场店,上海市,上海市上海市,上海市浦东新区金科路3057号1F(L1-1A),31.20314697,121.6013532,Shanghai,Shanghai
大华三路店,上海市,上海市上海市,上海市宝山区大华三路81号一层A5室,31.27572485,121.4187468,Shanghai,Shanghai
浦东机场交通中心店,上海市,上海市上海市,上海浦东国际机场交通中心地铁2号线西侧廊道靠中步行道段A标段01号商铺,31.149894,121.806192,Shanghai,Shanghai
上海打浦路店,上海市,上海市上海市,上海市黄浦区打浦路58号1-2层裙房B区,31.20403356,121.4700472,Shanghai,Shanghai
上海OneITC店,上海市,上海市上海市,上海市徐汇区华山路1901号B1层LG1-126商铺,31.19824014,121.437217,Shanghai,Shanghai
Nike园区店,上海市,上海市上海市,上海市杨浦区新江湾城江湾城路99号一幢,31.317623,121.508612,Shanghai,Shanghai
青浦桥梓湾店,上海市,上海市上海市,上海市青浦区公园路700号东方商厦一楼,31.148281,121.112755,Shanghai,Shanghai
上海瑞虹天地月亮湾店,上海市,上海市上海市,上海市虹口区瑞虹路188号瑞虹天地月亮湾L1层15,31.2642439,121.4991766,Shanghai,Shanghai
上海南丰城丰尚街1F店,上海市,上海市上海市,上海市长宁区遵义路100号裙房一层商用房1-L106&2-L111单元,31.20724075,121.4072084,Shanghai,Shanghai
殷高西路店,上海市,上海市上海市,上海市宝山区殷高西路333号3-152、3-153单元,31.32084731,121.4730181,Shanghai,Shanghai
锦延路店,上海市,上海市上海市,上海市浦东新区锦延路219号,31.21641,121.540436,Shanghai,Shanghai
老介福店,上海市,上海市上海市,上海市黄浦区南京东路233号,31.23752108,121.48527,Shanghai,Shanghai
百联东郊店,上海市,上海市上海市,上海市浦东新区沪南路2420号,31.154238,121.563805,Shanghai,Shanghai
南桥宝龙商业广场店,上海市,上海市上海市,上海奉贤区航南公路5639号1F-036单元,30.93029467,121.4625199,Shanghai,Shanghai
闵行颛桥万科,上海市,上海市上海市,上海市闵行区颛兴东路1759号1层106单元,31.06908643,121.4047024,Shanghai,Shanghai
南洋1931店,上海市,上海市上海市,上海市徐汇区裕德路165号1层F1-04单元,31.1861436,121.432729,Shanghai,Shanghai
北美广场店,上海市,上海市上海市,上海市杨浦区昆明路508号,31.26004219,121.5124741,Shanghai,Shanghai
中建幸福空间,上海市,上海市上海市,上海市静安区场中路2008号、2010号,31.30496,121.452492,Shanghai,Shanghai
枣阳路店,上海市,上海市上海市,上海市普陀区金沙江路588号,31.23234302,121.4015865,Shanghai,Shanghai
万嘉广场店,上海市,上海市上海市,上海市浦东新区金高路389号一层,31.29337075,121.6100976,Shanghai,Shanghai
陆家嘴公馆店,上海市,上海市上海市,上海市浦东新区张杨路1550号,31.234846,121.541503,Shanghai,Shanghai
七宝万科5F店,上海市,上海市上海市,上海市闵行区漕宝路3366号五层L522A+B、L543单元,31.15484356,121.3497464,Shanghai,Shanghai
上海金汇南路店,上海市,上海市上海市,上海市闵行区金汇南路158号,31.17169403,121.3774198,Shanghai,Shanghai
禹洲广场店,上海市,上海市上海市,上海市浦东新区金港路299号1幢13、16室,31.2552861,121.6116373,Shanghai,Shanghai
莘庄维璟印象城店,上海市,上海市上海市,上海市闵行区七莘路1507号地上一层01-026号,31.13187295,121.3637363,Shanghai,Shanghai
周浦万达店,上海市,上海市上海市,上海市浦东新区周浦镇年家浜路518号周浦万达广场157商铺,31.11488521,121.5691237,Shanghai,Shanghai
佛罗伦萨小镇店,上海市,上海市上海市,上海浦东新区卓耀路58弄127号第2层206、207室,31.19615,121.76437,Shanghai,Shanghai
松江乐颂坊店,上海市,上海市上海市,上海市松江区松汇中路568号B座,31.00560634,121.2339077,Shanghai,Shanghai
外高桥店,上海市,上海市上海市,上海市浦东新区外高桥保税区加枫路24号,31.31383773,121.6056808,Shanghai,Shanghai
东方维京大厦店,上海市,上海市上海市,上海市长宁区仙霞路333号1层S105单元,31.20641899,121.3986893,Shanghai,Shanghai
新世界店,上海市,上海市上海市,上海市黄浦区南京西路2－68号3F,31.23492432,121.473877,Shanghai,Shanghai
