StoreName,CityName,StreetAddress1,StreetAddress2,StreetAddress3,latitude,longitude
政立路店,上海市,上海市上海市,,上海市杨浦区政立路477号,31.308692390492,121.508437156808
合肥融创茂店,合肥市,安徽省合肥市,,安徽省合肥市滨湖新区庐州大道800号滨湖万达城一楼1036号,31.70178448208094,117.30357134361842
浦东嘉里城店,上海市,上海市上海市,,上海市浦东新区花木路1378号浦东嘉里城商场一层L110单元,31.21199673544821,121.5630276202501
上海大宁音乐广场店,上海市,上海市上海市,,上海市静安区万荣路777弄2号101室,31.2791193621831,121.444029808044
悦荟店,上海市,上海市上海市,,上海市黄浦区南京东路353号1楼122室-2楼211室,31.23652622,121.4838252
上海汇锦里店,上海市,上海市上海市,,上海市杨浦区国权路73号,31.288326803437,121.518199324673
来福士2F店,上海市,上海市上海市,,上海市黄浦区西藏中路268号来福士广场2楼04-05单元,31.23188,121.476417
北京陈家营西路店,北京市,北京市北京市,,北京市昌平区陈家营西路3号院23号楼 招商嘉铭珑原商业楼 1层101-2单元,40.04092948,116.40119101
兰州中川机场店,兰州市,甘肃省兰州市,,兰州新区中川机场T2航站楼出发安检内2-2-38商铺,36.504707,103.618088
呼和浩特成吉思汗西街店,呼和浩特市,内蒙古自治区呼和浩特市,,内蒙古呼和浩特市回民区成吉思汗西街与阿拉善北路交叉口回民区万达广场地面一层1029号和1030号铺位,40.83189673977521,111.60936534448415
鞍山百盛店,鞍山市,辽宁省鞍山市,,鞍山市铁东区二道街88号百盛广场一楼,41.11447156,122.99128465
北京荣华南路咖啡店,北京市,北京市北京市,,北京市经济技术开发区荣华南路15号院1号楼101-011室,39.7809941900001,116.51794195
广州百信广场东区店,广州市,广东省广州市,,广东省广州市白云区机场路1399 号百信广场首层自编BX1L1005（包括物业首层309 单元与物业,23.19475045,113.262108
上海凯德闵行中心2店,上海市,上海市上海市,,上海市闵行区沪闵路6088号1层01-02号,31.10824882,121.37854865
温州梦多多店,温州市,浙江省温州市,,浙江省温州市瓯海区六虹桥路1189号1-2层B1-07—B2-07单元,27.98016433829708,120.62671673291337
新闸路店,上海市,上海市上海市,,上海市静安区新闸路1250号10号楼一层5室-10室,31.23246055,121.45222485
临港港城新天地店,上海市,上海市上海市,,上海市浦东新区茉莉路港城新天地225弄67号,30.89464801240587,121.90612292237348
中山公园店,上海市,上海市上海市,,上海市长宁区长宁路999号1F,31.21792876793345,121.417769909167
星巴克臻选酒坊来福士店,重庆市,重庆市重庆市,,重庆渝中区朝天门重庆市渝中区接圣街8号来福士广场购物中心1层119号，2层118a号,29.56601522855116,106.58779978752138
佛山容桂海骏达店,佛山市,广东省佛山市,,佛山市顺德区桂洲大道中海骏达广场首层109单元,22.7589819400001,113.27600068
厦门软件园生活广场分店,厦门市,福建省厦门市,,厦门市思明区金山路和吕岭路交汇处软件园二期南二门出口（岭兜西路621号）地上一层110-1、111号店铺,24.48418772,118.17717948
广州安华汇店,广州市,广东省广州市,,白云区白云大道北756号首层L1C001-L1C003单元,23.216793,113.296249
北京大兴国际机场4店,北京市,北京市北京市,,北京市大兴区大兴新机场一层国际抵港大厅S-AR01-007,39.513813,116.418625
南昌中山天虹店,南昌市,江西省南昌市,,南昌市西湖区中山路318号天虹百货1楼,28.674852,115.89189
临沂颐高上海街咖啡店,临沂市,山东省临沂市,,山东省临沂市兰山区沂蒙北路87号颐高上海街一层,35.105748,118.3446
杭州东方通信店,杭州市,浙江省杭州市,,浙江省杭州市滨江区东信大道66号东方通信城三期2号楼第一层101单元,30.17838,120.142636
深圳新城市广场分店,深圳市,广东省深圳市,,深圳市福田区深南中路1093号中信广场1002号,22.539622,114.097438
深圳荣超商务中心店,深圳市,广东省深圳市,,福田区益田路6003号荣超商务中心B栋01层,22.54380856,114.05522773
深圳宝安大仟里1店,深圳市,广东省深圳市,,宝安区宝安大道和海城路交汇处宝安大仟里一层,22.5686333433433,113.871896266937
永业公寓店,上海市,上海市上海市,,上海市黄浦区徐家汇路193-199号,31.20887854,121.47689674
苏州木渎天虹店,苏州市,江苏省苏州市,,江苏省苏州市吴中区木渎镇花苑东路726号A1032,31.2619270430912,120.518261075085
浦东星河湾店,上海市,上海市上海市,,上海市浦东新区锦绣路2580号星河湾商业街1号101铺位,31.1941470099191,121.538044452536
福州世欧广场分店,福州市,福建省福州市,,福建省福州市晋安区晋连路18号福州世欧广场地上一层的A3-1-32 和A3-1-33 单元,26.070981,119.327165
苏州石路百脑汇店,苏州市,江苏省苏州市,,江苏省苏州市姑苏区金门路168号石路百脑汇大厦第1层的1Y04单元，第2层的2Y06单元,31.31064025223875,120.6005469561933
青浦凯特利广场,上海市,上海市上海市,,上海市青浦区公园路458号101室-02,31.14870189,121.11689635
武汉火车站到达层,武汉市,湖北省武汉市,,武汉市青山区武汉火车站到达层靠近西出站口,30.6075686964379,114.42365006940238
厦门金湖路分店,厦门市,福建省厦门市,,厦门市湖里区金湖路 101 号,24.51159036,118.1599303
松江科技广场店,上海市,上海市上海市,,上海市松江区莘砖公路668号1层106-1、106-2商铺,31.092776,121.316411
菊盛路店,上海市,上海市上海市,,上海市宝山区菊盛路936号、938号、940号-1单元,31.36249611,121.36850312
武汉骏业财富中心店,武汉市,湖北省武汉市,,湖北省武汉市洪山区欢乐大道75号骏业财富中心B座一层06单元,30.58189634720668,114.36485019585234
常州弘阳广场店,常州市,江苏省常州市,,江苏省常州市天宁区中吴大道1777号弘阳广场1F 003-004单元,31.75366116,119.92903284
南京苏宁银河店,南京市,江苏省南京市,,江苏省南京市山西路1号,32.06765150621951,118.77248847487866
